metric,n_neighbors,min_dist,trustworthiness,knn_recall,silhouette,combined,time_s
cosine,10,0.05,0.9561,0.2477,0.3504,0.6019,16.4
cosine,10,0.1,0.9574,0.2507,0.3334,0.6041,10.0
cosine,10,0.25,0.9521,0.255,0.298,0.6035,9.6
cosine,10,0.4,0.9425,0.2503,0.2524,0.5964,9.6
cosine,10,0.8,0.9158,0.2397,0.176,0.5777,9.8
cosine,20,0.05,0.9587,0.2584,0.319,0.6086,13.6
cosine,20,0.1,0.9569,0.2566,0.3097,0.6068,13.1
cosine,20,0.25,0.9508,0.2634,0.2643,0.6071,13.0
cosine,20,0.4,0.9466,0.2677,0.2199,0.6071,12.9
cosine,20,0.8,0.9197,0.2508,0.1403,0.5852,12.9
cosine,40,0.05,0.9593,0.2607,0.2849,0.61,17.3
cosine,40,0.1,0.9575,0.2619,0.2717,0.6097,17.3
cosine,40,0.25,0.954,0.2666,0.2206,0.6103,17.2
cosine,40,0.4,0.933,0.2577,0.1439,0.5954,17.1
cosine,40,0.8,0.915,0.2482,0.0915,0.5816,17.2
cosine,80,0.05,0.9529,0.2558,0.1908,0.6043,26.1
cosine,80,0.1,0.9495,0.2574,0.1708,0.6035,25.9
cosine,80,0.25,0.9416,0.2594,0.131,0.6005,26.5
cosine,80,0.4,0.9298,0.2555,0.0923,0.5927,26.4
cosine,80,0.8,0.9108,0.243,0.0508,0.5769,27.4
euclidean,10,0.05,0.942,0.211,0.1968,0.5765,11.9
euclidean,10,0.1,0.9412,0.2113,0.1917,0.5762,9.7
euclidean,10,0.25,0.9346,0.2133,0.1456,0.5739,9.6
euclidean,10,0.4,0.925,0.212,0.115,0.5685,9.5
euclidean,10,0.8,0.899,0.2011,0.0784,0.55,9.5
euclidean,20,0.05,0.9388,0.2154,0.177,0.5771,12.8
euclidean,20,0.1,0.9375,0.2149,0.1695,0.5762,12.8
euclidean,20,0.25,0.9277,0.2149,0.1386,0.5713,12.8
euclidean,20,0.4,0.918,0.2106,0.1048,0.5643,12.7
euclidean,20,0.8,0.8945,0.1957,0.0553,0.5451,12.7
euclidean,40,0.05,0.9413,0.2164,0.1196,0.5788,16.7
euclidean,40,0.1,0.9391,0.2173,0.1101,0.5782,16.8
euclidean,40,0.25,0.929,0.2188,0.0799,0.5739,16.7
euclidean,40,0.4,0.9178,0.2154,0.0541,0.5666,16.7
euclidean,40,0.8,0.8943,0.1981,0.0211,0.5462,16.7
euclidean,80,0.05,0.936,0.2129,0.0341,0.5745,24.2
euclidean,80,0.1,0.9335,0.2141,0.0362,0.5738,24.2
euclidean,80,0.25,0.9251,0.2136,0.0233,0.5693,24.3
euclidean,80,0.4,0.9168,0.2117,0.0132,0.5643,24.2
euclidean,80,0.8,0.9036,0.2013,-0.0139,0.5524,24.2
correlation,10,0.05,0.9564,0.2461,0.3641,0.6013,12.1
correlation,10,0.1,0.9553,0.2493,0.3462,0.6023,9.6
correlation,10,0.25,0.9545,0.254,0.2948,0.6043,9.6
correlation,10,0.4,0.9466,0.2519,0.2557,0.5992,9.6
correlation,10,0.8,0.9169,0.2375,0.1586,0.5772,9.6
correlation,20,0.05,0.9583,0.2576,0.338,0.6079,13.2
correlation,20,0.1,0.9569,0.2603,0.309,0.6086,13.1
correlation,20,0.25,0.9537,0.2597,0.2575,0.6067,13.1
correlation,20,0.4,0.947,0.2576,0.2288,0.6023,13.0
correlation,20,0.8,0.9176,0.2448,0.1467,0.5812,13.2
correlation,40,0.05,0.9595,0.257,0.2969,0.6083,18.4
correlation,40,0.1,0.9583,0.2606,0.2794,0.6094,18.3
correlation,40,0.25,0.9502,0.2636,0.2264,0.6069,18.3
correlation,40,0.4,0.9311,0.2561,0.1621,0.5936,18.6
correlation,40,0.8,0.9148,0.2471,0.0957,0.5809,18.3
correlation,80,0.05,0.9532,0.2565,0.1982,0.6048,27.9
correlation,80,0.1,0.9514,0.2601,0.1844,0.6057,27.7
correlation,80,0.25,0.9426,0.2626,0.154,0.6026,27.7
correlation,80,0.4,0.9289,0.2545,0.1019,0.5917,27.9
correlation,80,0.8,0.9103,0.2422,0.0554,0.5762,27.7
